weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
ev,Low,0.0,100,511,1815787.0,1815787.0,0.0
ev,Low,0.0,150,511,1815787.0,1815787.0,0.0
ev,Low,0.0,300,511,1815787.0,1815787.0,0.0
ev,Low,0.0,605,511,1815787.0,1815787.0,0.0
ev,Low,0.2,1,511,244703.0,244703.0,0.0
ev,Low,0.2,5,511,1014720.0,1017110.0,0.0023553295490381584
ev,Low,0.2,10,511,1514743.0,1517852.75,0.002052988526766587
ev,Low,0.2,20,511,1759909.0,1761175.5925925926,0.0007196920935074393
ev,Low,0.2,30,511,1815570.0,1815614.0,2.4234813309318837e-05
ev,Low,0.2,50,511,1815787.0,1815787.0,0.0
ev,Low,0.2,75,511,1815787.0,1815787.0,0.0
ev,Low,0.2,100,511,1815787.0,1815787.0,0.0
ev,Low,0.2,150,511,1815787.0,1815787.0,0.0
ev,Low,0.2,300,511,1815787.0,1815787.0,0.0
ev,Low,0.2,605,511,1815787.0,1815787.0,0.0
ev,Low,0.5,1,511,156352.0,156352.0,0.0
ev,Low,0.5,5,511,505328.0,505328.0,0.0
ev,Low,0.5,10,511,818943.0,818943.0,0.0
ev,Low,0.5,20,511,1238752.0,1239518.5,0.0006187679212626902
ev,Low,0.5,30,511,1460534.0,1461763.5,0.000841815390809115
ev,Low,0.5,50,511,1706013.0,1706013.0,0.0
ev,Low,0.5,75,511,1767739.0,1767739.0,0.0
ev,Low,0.5,100,511,1767739.0,1767739.0,0.0
ev,Low,0.5,150,511,1767739.0,1767739.0,0.0
ev,Low,0.5,300,511,1767739.0,1767739.0,0.0
ev,Low,0.5,605,511,1767739.0,1767739.0,0.0
ev,Low,0.8,1,511,19797.0,19797.0,0.0
ev,Low,0.8,5,511,95475.0,95475.0,0.0
ev,Low,0.8,10,511,157732.0,157732.0,0.0
ev,Low,0.8,20,511,253651.0,253651.0,0.0
ev,Low,0.8,30,511,334083.0,334083.0,0.0
ev,Low,0.8,50,511,458160.0,458160.0,0.0
ev,Low,0.8,75,511,560757.0,560757.0,0.0
ev,Low,0.8,100,511,629334.0,629334.0,0.0
ev,Low,0.8,150,511,648252.0,648252.0,0.0
ev,Low,0.8,300,511,648252.0,648252.0,0.0
ev,Low,0.8,605,511,648252.0,648252.0,0.0
