weight,ablation,rho,K,cand_set,z_ip,z_lp,gamma
pop,Medium,0.5,605,511,1787578.8796484116,1787578.8796484144,1.5629898941276173e-15
pop,Medium,0.8,1,511,1979.8633289939878,1979.8633289939878,0.0
pop,Medium,0.8,5,511,8460.835439301962,8460.835439301962,0.0
pop,Medium,0.8,10,511,15054.586186503591,15054.586186503593,1.2082626390465499e-16
pop,Medium,0.8,20,511,24576.63292314417,24576.632923144185,5.921036976006222e-16
pop,Medium,0.8,30,511,32803.252913216886,32803.25291321692,1.10902989307683e-15
pop,Medium,0.8,50,511,45652.89996782832,45652.89996782829,-6.375023377976694e-16
pop,Medium,0.8,75,511,55907.283051431004,55907.28305143098,-3.9042986264365733e-16
pop,Medium,0.8,100,511,62942.15800849423,62942.1580084942,-4.623900955668863e-16
pop,Medium,0.8,150,511,71379.30668560471,71379.30668560475,6.116022655891773e-16
pop,Medium,0.8,300,511,76255.4372184017,76255.4372184018,1.3358182749227833e-15
pop,Medium,0.8,605,511,76255.4372184017,76255.4372184018,1.3358182749227833e-15
pop,Low,0.0,1,511,479890.43102734664,479890.43102734635,-6.064682388942074e-16
pop,Low,0.0,5,511,1398370.1380695617,1398370.1380695577,-2.8305245044634153e-15
pop,Low,0.0,10,511,1579199.899280469,1581058.6544331133,0.0011770233480202612
pop,Low,0.0,20,511,1623549.065099117,1623564.0509031664,9.230274816722764e-06
pop,Low,0.0,30,511,1627022.880756268,1627033.953890682,6.805764408656233e-06
pop,Low,0.0,50,511,1627113.3284615786,1627113.3284615797,7.154715027563844e-16
pop,Low,0.0,75,511,1627113.3284615786,1627113.3284615797,7.154715027563844e-16
pop,Low,0.0,100,511,1627113.3284615786,1627113.3284615797,7.154715027563844e-16
pop,Low,0.0,150,511,1627113.3284615786,1627113.3284615797,7.154715027563844e-16
pop,Low,0.0,300,511,1627113.3284615786,1627113.3284615797,7.154715027563844e-16
pop,Low,0.0,605,511,1627113.3284615786,1627113.3284615797,7.154715027563844e-16
pop,Low,0.2,1,511,265021.9325467083,265021.93254670844,4.392667456170534e-16
pop,Low,0.2,5,511,1019261.1104612619,1025518.523086962,0.0061391654812262535
pop,Low,0.2,10,511,1409805.1451890217,1415454.7035373647,0.004007332763412164
pop,Low,0.2,20,511,1579448.121410359,1581499.2647208471,0.0012986455728958323
pop,Low,0.2,30,511,1614978.3933856478,1615264.1764971458,0.0001769578544632264
pop,Low,0.2,50,511,1625825.8177096331,1625845.5095964805,1.211192898579619e-05
pop,Low,0.2,75,511,1625951.724546096,1625951.7245460972,7.159826461602576e-16
pop,Low,0.2,100,511,1625951.724546096,1625951.7245460972,7.159826461602576e-16
pop,Low,0.2,150,511,1625951.724546096,1625951.7245460972,7.159826461602576e-16
pop,Low,0.2,300,511,1625951.724546096,1625951.7245460972,7.159826461602576e-16
pop,Low,0.2,605,511,1625951.724546096,1625951.7245460972,7.159826461602576e-16
pop,Low,0.5,1,511,92064.95563529478,92064.95563529461,-1.8967367282742417e-15
