cand_id,lng,lat
503,114.201680,30.619179
504,114.447360,30.460384
505,114.194742,30.511917
506,114.491803,30.484376
507,114.056150,30.624216
508,114.424243,30.486960
509,114.445199,30.500249
510,114.270237,30.604672
511,114.492076,30.482761
512,114.435265,30.435644
513,114.373004,30.885118
514,114.265530,30.458124
515,114.199920,30.594126
516,114.553740,30.704090
517,114.195566,30.506758
518,114.240952,30.549249
519,114.301366,30.640282
520,114.240952,30.549249
521,114.124780,30.612080
522,114.300780,30.376450
523,114.158852,30.639498
524,114.459399,30.452719
525,114.363076,30.408844
526,114.159973,30.587435
527,114.055985,30.435452
528,114.137582,30.480430
529,114.348170,30.601297
530,114.164658,30.590233
531,114.318726,30.374372
532,114.429250,30.389132
533,114.427815,30.607526
534,114.418008,30.475428
535,114.254595,30.620235
536,114.372526,30.411328
537,114.324256,30.392487
538,114.270237,30.604672
539,114.294247,30.590488
540,114.422415,30.396220
541,114.207063,30.555454
542,114.300753,30.550990
543,114.304491,30.623875
544,114.315700,30.528711
545,114.147831,30.465862
546,114.207717,30.557585
547,114.196534,30.671386
548,114.177099,30.631529
549,114.293746,30.389669
550,114.221638,30.730172
551,114.357130,30.598728
552,114.400235,30.481229
553,114.119276,30.621501
554,114.427845,30.607496
555,114.229590,30.520974
556,114.428159,30.417875
557,114.127471,30.638104
558,114.440985,30.498256
559,114.318726,30.374372
560,114.364760,30.609127
561,114.405850,30.640945
562,114.497260,30.602688
563,114.221638,30.730172
564,114.270237,30.604672
565,114.470880,30.629858
566,114.145005,30.477312
567,114.343291,30.371554
568,114.467450,30.659353
569,114.315260,30.509668
570,114.417020,30.468330
571,114.096250,30.458082
572,114.263399,30.448341
573,114.405850,30.640945
574,114.308738,30.555363
575,114.513788,30.709578
576,114.301700,30.689184
577,114.553740,30.704090
578,114.148870,30.486326
579,114.221638,30.730172
580,114.357390,30.620832
581,114.249800,30.619760
582,114.212650,30.528667
583,114.449500,30.416298
584,114.212650,30.528667
585,114.228713,30.545374
586,114.293770,30.475483
587,114.223670,30.605877
588,114.323201,30.472480
589,114.257210,30.536304
590,114.306882,30.504533
591,114.204405,30.493749
592,114.346947,30.575035
593,114.143890,30.464151
594,114.413939,30.625955
595,114.389149,30.637752
596,114.318855,30.385885
597,114.228713,30.545374
598,114.503910,30.118042
599,114.330332,30.706805
600,114.402306,30.613333
601,114.254595,30.620235
602,114.343291,30.371554
603,114.026550,30.571966
604,114.026550,30.571966
